Date,C_cover_A,D_snow,EPC0_A_kgmm,EPC0_A_mgl,EPC0_NC_kgmm,P_labile_A_kg,P_labile_NC_kg,Plabile_A_mgkg,Qg,Qq,QsA,QsS,TDPs_A_kg,TDPs_A_mgl,TDPs_NC_kgmm,Vg,VsA,VsS,conc_TDPs_A_kgmm,conc_TDPs_NC_kgmm
2004-03-17,0.2,0.0,5.188191672521948,0.10035186987469918,-0.009684010307355703,2883479.1513120383,-5452.698721091629,587.0872750304466,1.0995947424813453,0.0028000000000000004,-0.0,1.2126229487472642,1496.3919029684373,0.10035679915050369,-2.96428844828534,71.47365826128744,288.40846645147616,302.12622948747264,5.188446516081041,-0.009811423699670046
2004-03-18,0.2,0.0,5.188446516081041,0.10035679915050369,-0.009811423699670047,2883620.643637582,-5523.5091032619775,587.116083403763,1.0890659169814616,0.0292,-0.0,1.1314626559966598,1498.3428347541694,0.10036172365876289,-2.99471719793065,70.78928460379501,288.77031111977476,301.3146265599666,5.188701113158042,-0.009938837792644135
2004-03-19,0.2,0.0,5.188701113158043,0.10036172365876292,-0.009938837792644133,2883756.0313267526,-5594.3159725578535,587.1436488499954,1.0806000126135928,0.1012,1.1044683539551776,1.3937478677915067,1517.2422368313546,0.10036643570085392,-3.0595092966744435,70.23900081988353,292.39899768188235,303.93747867791507,5.188944725734148,-0.010066245564656505
2004-03-20,0.2,0.0,5.188944725734148,0.10036643570085392,-0.010066245564656507,2883887.1442019083,-5665.1211791709065,587.1703439279056,1.0805172874685454,0.0848,1.9446071797333389,1.5545730019312032,1525.0442233213944,0.10037099896203516,-3.1146263361900863,70.23362368545546,293.8892143594667,305.54573001931203,5.189180646337218,-0.010193650344886921
2004-03-21,0.2,0.0,5.189180646337217,0.10037099896203514,-0.010193650344886921,2884024.21642486,-5735.928789959177,587.1982523515952,1.0793634732977702,0.0144,0.8665474357801298,1.3717968353394667,1515.906817794789,0.10037576963275133,-3.1346912077483524,70.15862576435507,292.11447296160503,303.71796835339467,5.189427290013244,-0.010321059451118627
2004-03-22,0.2,0.0,5.189427290013244,0.10037576963275133,-0.010321059451118627,2884160.843468991,-5806.736342354943,587.2260701351911,1.0749166633847385,0.041600000000000005,0.9250873724874837,1.3332821196777673,1516.3389356129044,0.1003805248094344,-3.169363412815803,69.869583120008,292.18389999820124,303.3328211967777,5.1896731326477585,-0.010448468452280597
2004-03-23,0.2,0.0,5.189673132647758,0.10038052480943438,-0.010448468452280599,2884288.40417741,-5877.539296777501,587.2520419785016,1.076650405665454,0.1216,2.5919628769718486,1.6714805818201115,1531.9758419283228,0.10038496444076948,-3.2437756618982587,69.98227636825452,295.1839257539437,306.7148058182011,5.189902661587783,-0.010575869179986505
2004-03-24,0.2,0.0,5.189902661587783,0.10038496444076948,-0.010575869179986506,2884418.2257686923,-5948.342748322436,587.2784741461248,1.0819291567666776,0.0556,2.2222292793416614,1.6696916070796874,1528.2068605366815,0.10038948276002135,-3.282660146905226,70.32539518983404,294.4444585586833,306.6969160707969,5.190136258693104,-0.010703270802199615
2004-03-25,0.2,0.0,5.190136258693103,0.10038948276002134,-0.010703270802199615,2884547.056158225,-6019.144746291625,587.3047045013184,1.0869477876797164,0.076,2.392696998988754,1.763206566332792,1530.044697175544,0.10039396658142194,-3.3318613258268295,70.65160619918157,294.7853939979775,307.6320656633279,5.190368072259514,-0.010830669808891812
2004-03-26,0.2,0.0,5.190368072259514,0.10039396658142194,-0.010830669808891812,2884684.102814461,-6089.950224830315,587.3326077195278,1.0878052495985302,0.0012,0.8844714805832079,1.4989968329422083,1516.3641086719122,0.10039873636231245,-3.342102971117867,70.70734122390446,292.1357498286244,304.9899683294221,5.190614669931554,-0.010958075078417121
