Date,Msus,PP_mgl,PPr,Qr,SS_mgl,Sim_Q_cumecs,TDP_mgl,TDPr,TP_mgl,Vr
2004-02-05,1640.96314526,0.037735703484,3.45630868188,1.77161573315,17.9159051975,1.06009876625,0.0295644801903,2.7078856394,0.0673001836743,0.318216807125
2004-02-06,1527.69089378,0.037323341401,3.22839604447,1.67307629546,17.661565681,1.00113477402,0.0268901654788,2.32594672953,0.0642135068798,0.304496712833
2004-02-07,2412.56815822,0.0453669467892,5.11588234652,2.18117470713,21.3943253276,1.30517051341,0.0376831826368,4.24940937083,0.083050129426,0.398019095563
2004-02-08,2815.75924743,0.0540197495283,5.98718624827,2.14377725596,25.4053578711,1.28279264043,0.0399617768263,4.42909496545,0.0939815263546,0.326988325482
2004-02-09,2036.22111232,0.0451723624763,4.34190748663,1.8591619318,21.1844491046,1.11248462817,0.0301960824381,2.90240733974,0.0753684449144,0.331505322443
2004-02-10,1818.24661952,0.044222485527,3.8871503691,1.70019075172,20.6854320469,1.01735951231,0.0262689759334,2.30903935585,0.0704914614604,0.300062134452
2004-02-11,1450.58947041,0.0397834213798,3.10884522107,1.51149400034,18.5629737239,0.904447220112,0.0195785656788,1.52995213169,0.0593619870586,0.287186068867
2004-02-12,1309.30885081,0.0381643180162,2.81277961597,1.425567077,17.7649464892,0.853030299547,0.0172909391568,1.27437364872,0.055455257173,0.279835687266
2004-02-13,1272.56722352,0.0379421187549,2.73982058555,1.39672209155,17.6230140664,0.835770047837,0.0174064106134,1.25692617292,0.0553485293683,0.27949372852
2004-02-14,1247.99600223,0.0383137725619,2.69269613608,1.35938316503,17.7574566795,0.813427194818,0.0177716967911,1.24899679883,0.056085469353,0.272792937808
2004-02-15,1180.91663724,0.0378307861086,2.55306057196,1.30534469864,17.4986074385,0.78109167731,0.0171934715378,1.16032413792,0.0550242576464,0.26652665516
2004-02-16,1123.18488764,0.0373423731442,2.43296491291,1.26021135471,17.2392084084,0.754084803686,0.0170141017536,1.10851853017,0.0543564748978,0.26263551815
2004-02-17,1080.57880721,0.037145318574,2.34487977487,1.22102891991,17.1174848572,0.730638832861,0.0170208412673,1.07447796845,0.0541661598413,0.257899185417
2004-02-18,1042.42753036,0.0369611930653,2.26599327156,1.18582906706,17.0033007996,0.709575957953,0.0170712864898,1.04659555373,0.0540324795551,0.253498274992
2004-02-19,1006.05888506,0.0367661304891,2.19058178559,1.15244711462,16.8854194311,0.689600877614,0.0172989665415,1.03069864876,0.0540650970306,0.249613769704
2004-02-20,975.635060462,0.0366512470909,2.12770061676,1.12287450153,16.806049399,0.671905228346,0.0176644721087,1.02546874073,0.0543157191997,0.246043749207
2004-02-21,948.891082906,0.0365814698142,2.07251428385,1.09583669289,16.7486568256,0.655726354425,0.0181419051227,1.02782522665,0.0547233749369,0.242732994453
2004-02-22,925.031329682,0.0365454506189,2.02333513317,1.0708877689,16.7079028212,0.640797426532,0.0187058335349,1.03564655916,0.0552512841538,0.239634994049
2004-02-23,1079.26424973,0.0388112165009,2.36405882227,1.17817683586,17.7184924771,0.70499701868,0.021660680731,1.3193898052,0.0604718972319,0.271945100771
2004-02-24,1603.06569606,0.047938045441,3.51627002202,1.41876789471,21.8549302817,0.848961807369,0.0327546663131,2.4025646056,0.0806927117541,0.290740551293
2004-02-25,1574.97076941,0.0505470388374,3.4587889802,1.3235422362,23.0167579187,0.791980713098,0.0313268006777,2.1436031756,0.0818738395151,0.257468185363
